name,email,age,course
Lionel Messi,lionel.messi@gmail.com,36,Playmaking
Cristiano Ronaldo,cristiano.ronaldo@gmail.com,39,Finishing
Neymar Jr,neymar.jr@gmail.com,32,Flair and Creativity
Luis Suarez,luis.suarez@gmail.com,37,Clinical Striking
Robert Lewandowski,robert.lewandowski@gmail.com,35,Box Finishing
Kevin De Bruyne,kevin.debruyne@gmail.com,33,Creative Midfield
Luka Modric,luka.modric@gmail.com,38,Midfield Control
Xavi Hernandez,xavi.hernandez@gmail.com,44,Game Tempo Control
Sergio Ramos,sergio.ramos@gmail.com,38,Defensive Leadership
Manuel Neuer,manuel.neuer@gmail.com,38,Sweeper Goalkeeping
